R001,BodilyInjury,21,20,RS023,,x,ApplyPreviousStep,DirectFactorLookup,BodilyInjury,HouseholdCompostion,DV-11,,,,,,,,,,,,,,,0.000000,R,2,1.100000,373.986786,2022-10-15 07:00:00 +0000 UTC,2022-09-13 00:00:00 -0700 PDT,2022-09-13 00:00:00 -0700 PDT
R001,BodilyInjury,22,21,RS024,,x,ApplyPreviousStep,DirectFactorLookup,BodilyInjury,FrequencyBand,1,,,,,,,,,,,,,,,0.000000,R,2,0.812900,304.013855,2022-10-15 07:00:00 +0000 UTC,2022-09-13 00:00:00 -0700 PDT,2022-09-13 00:00:00 -0700 PDT
R001,BodilyInjury,23,22,RS025,,x,ApplyPreviousStep,DirectFactorLookup,BodilyInjury,SeverityBand,2,,,,,,,,,,,,,,,0.000000,R,2,0.735300,223.541382,2022-10-15 07:00:00 +0000 UTC,2022-09-13 00:00:00 -0700 PDT,2022-09-13 00:00:00 -0700 PDT
R001,BodilyInjury,24,23,RS026,,x,ApplyPreviousStep,DirectFactorLookup,BodilyInjury,MultiPolicy,Auto-Life,,,,,,,,,,,,,,,1.000000,R,2,0.970000,216.835144,2022-10-15 07:00:00 +0000 UTC,2022-09-13 00:00:00 -0700 PDT,2022-09-13 00:00:00 -0700 PDT
R001,BodilyInjury,25,24,RS027,,=,StoreResult,,BodilyInjury,GoodDriverDiscInd,TRUE,,,,,,,,,,,,,,,1.000000,R,2,0.800000,173.468124,2022-10-15 07:00:00 +0000 UTC,2022-09-13 00:00:00 -0700 PDT,2022-09-13 00:00:00 -0700 PDT
R001,Collission,1,0,RS001,,=,ApplyFactor,,Collission,AffinityGroup,Group I," ",,,,,,,,,,,,,,0.000000,R,2,200.309998,200.309998,2022-10-15 07:00:00 +0000 UTC,2022-09-13 00:00:00 -0700 PDT,2022-09-13 00:00:00 -0700 PDT
R001,Collission,2,1,RS003,,x,ApplyPreviousStep,DirectFactorLookup,Collission,TermLength,6,,,,,,,,,,,,,,,0.000000,R,2,1.000000,200.309998,2022-10-15 07:00:00 +0000 UTC,2022-09-13 00:00:00 -0700 PDT,2022-09-13 00:00:00 -0700 PDT
R001,Collission,4,3,RS032,,x,ApplyPreviousStep,RangeLookup,Collission,Deductible1,500,Deductible2,,,,,,,,,,,,,,0.000000,R,2,1.000000,200.309998,2022-10-15 07:00:00 +0000 UTC,2022-09-13 00:00:00 -0700 PDT,2022-10-02 21:07:25.436725 -0700 PDT
R001,Collission,5,4,RS006,,x,ApplyPreviousStep,DirectFactorLookup,Collission,DPS,0,,,,,,,,,,,,,,,0.000000,R,2,1.000000,200.309998,2022-10-15 07:00:00 +0000 UTC,2022-09-13 00:00:00 -0700 PDT,2022-09-13 00:00:00 -0700 PDT
R001,Collission,6,5,RS008,,x,ApplyPreviousStep,DirectFactorLookup,Collission,,," ",,,,,,,,,,,,,,0.000000,R,2,0.910000,182.282104,2022-10-15 07:00:00 +0000 UTC,2022-09-13 00:00:00 -0700 PDT,2022-09-13 00:00:00 -0700 PDT
R001,Collission,7,6,RS030,,x,ApplyPreviousStep,DirectFactorLookup,Collission,Mileage1,10000,Mileage2,10000,,,,,,,,,,,,,0.000000,R,2,1.000000,182.282104,2022-10-15 07:00:00 +0000 UTC,2022-09-13 00:00:00 -0700 PDT,2022-10-02 21:07:25.438623 -0700 PDT
R001,Collission,8,7,RS009,,x,ApplyPreviousStep,DirectFactorLookup,Collission,Symbol,,,,,,,,,,,,,,,,0.000000,R,2,1.000000,182.282104,2022-10-15 07:00:00 +0000 UTC,2022-09-13 00:00:00 -0700 PDT,2022-10-02 21:07:25.439279 -0700 PDT
R001,Collission,9,8,RS010,,x,ApplyPreviousStep,DirectFactorLookup,Collission,ModelYear,1987,,,,,,,,,,,,,,,0.000000,R,2,1.389100,253.208069,2022-10-15 07:00:00 +0000 UTC,2022-09-13 00:00:00 -0700 PDT,2022-09-13 00:00:00 -0700 PDT
R001,Collission,10,9,RS011,,x,ApplyPreviousStep,DirectFactorLookup,Collission,HighPerfInd,FALSE,,,,,,,,,,,,,,,0.000000,R,2,1.000000,253.208069,2022-10-15 07:00:00 +0000 UTC,2022-09-13 00:00:00 -0700 PDT,2022-09-13 00:00:00 -0700 PDT
R001,Collission,11,10,RS012,,x,ApplyPreviousStep,DirectFactorLookup,Collission,VehHistInd,FALSE,,,,,,,,,,,,,,,0.000000,R,2,1.000000,253.208069,2022-10-15 07:00:00 +0000 UTC,2022-09-13 00:00:00 -0700 PDT,2022-09-13 00:00:00 -0700 PDT
R001,Collission,13,12,RS014,,x,ApplyPreviousStep,DirectFactorLookup,Collission,AntiLockInd,FALSE,,,,,,,,,,,,,,,1.000000,R,2,1.000000,253.208069,2022-10-15 07:00:00 +0000 UTC,2022-09-13 00:00:00 -0700 PDT,2022-09-13 00:00:00 -0700 PDT
R001,Collission,15,14,RS016,,x,ApplyPreviousStep,DirectFactorLookup,Collission,AltFuelInd,FALSE,,,,,,,,,,,,,,,1.000000,R,2,1.000000,253.208069,2022-10-15 07:00:00 +0000 UTC,2022-09-13 00:00:00 -0700 PDT,2022-09-13 00:00:00 -0700 PDT
